;income;distance;lazy;transport;transport_id
0;0.0;11.0;7.0;bus 240;3
1;433.0;6.0;7.0;bus 40;2
2;450.0;8.0;7.0;bus 240;3
3;662.0;9.0;5.0;car;1
4;168.0;5.0;1.0;bike;0
5;0.0;10.0;1.0;bus 40;2
6;431.0;7.0;7.0;bus 40;2
7;0.0;7.0;4.0;bike;0
8;727.0;8.0;8.0;car;1
9;319.0;6.0;8.0;bus 240;3
10;397.0;7.0;9.0;bus 40;2
11;400.0;8.0;7.0;bus 40;2
12;352.0;9.0;1.0;bus 40;2
13;165.0;7.0;5.0;bus 240;3
14;377.0;2.0;9.0;bus 40;2
15;0.0;9.0;2.0;bus 240;3
16;129.0;9.0;1.0;bus 240;3
17;99.0;9.0;3.0;bus 240;3
18;383.0;4.0;4.0;bike;0
19;373.0;5.0;3.0;bike;0
20;196.0;9.0;8.0;bus 240;3
21;249.0;8.0;7.0;bus 240;3
22;608.0;11.0;2.0;bus 40;2
23;359.0;6.0;4.0;bus 240;3
24;152.0;9.0;3.0;bus 40;2
25;288.0;10.0;2.0;bus 240;3
26;608.0;9.0;3.0;car;1
27;552.0;13.0;5.0;car;1
28;332.0;10.0;5.0;bus 240;3
29;210.0;6.0;2.0;bike;0
30;259.0;8.0;1.0;bus 240;3
31;487.0;8.0;2.0;bus 40;2
32;304.0;6.0;7.0;bus 240;3
33;0.0;5.0;5.0;bus 240;3
34;145.0;14.0;8.0;bus 240;3
35;202.0;10.0;2.0;bus 240;3
36;450.0;11.0;7.0;bus 40;2
37;0.0;7.0;4.0;bike;0
38;118.0;10.0;9.0;bus 40;2
39;113.0;11.0;7.0;bus 240;3
40;408.0;9.0;5.0;bus 40;2
41;0.0;11.0;7.0;bus 240;3
42;20.0;11.0;6.0;bus 240;3
43;0.0;7.0;7.0;bus 240;3
44;15.0;8.0;2.0;bus 240;3
45;297.0;5.0;7.0;bus 240;3
46;0.0;7.0;1.0;bike;0
47;272.0;2.0;8.0;bus 240;3
